family,run,n_turns,tr_mean,tr_med,tr_std,pns_mean,pns_med,pns_std
gpt-5.1,baseline (pgg_aligned_v3),1251,1.3631761257660537,1.0,0.5233947158687626,0.3005595523581135,0.3,0.4968940396610524
gpt-5.1,twin: pgg_aligned_v3,1179,1.3120582414475543,1.0,0.5195671046472629,0.2910941475826972,0.3,0.5222847876856967
gpt-5.1,twin: bargain_card_v1,1242,1.2954911433172303,1.0,0.5153645009721899,0.2891304347826087,0.3,0.5398415478196065
gpt-5.1,twin: descriptive_card_v1,1179,1.3348176420695506,1.0,0.5328232317716116,0.2703986429177269,0.2999999999999999,0.5298051285384665
gpt-5.1,twin: no_econ_games_v1,1242,1.3420558239398819,1.0,0.5165277604481907,0.2809983896940419,0.2999999999999999,0.539952218315177
gpt-5.1,twin: ultimatum_only_v1,1197,1.331523252575884,1.0,0.5171900739536435,0.3035923141186299,0.3,0.491920127915671
gpt-5-mini,baseline (minimal prompt),1269,1.1234786796252516,1.0,0.42771416067904405,0.3502758077226162,0.3,0.4633682092803577
gpt-5-mini,baseline (pgg_aligned_v3),1296,1.1098765432098767,1.0,0.38405837338548005,0.32584876543209873,0.3,0.2622799741353722
gpt-5-mini,twin: minimal prompt,1260,1.1470238095238094,1.0,0.4449371054003231,0.3472222222222222,0.3,0.3263394561641995
gpt-5-mini,twin: pgg_aligned_v3,1287,1.1027195027195025,1.0,0.4770564821191263,0.3605283605283605,0.3,0.38384447253277776
gpt-5-mini,twin: bargain_card_v1,1287,1.12996632996633,1.0,0.4673700252773962,0.33418803418803417,0.3,0.33003572842042717
—,HUMAN,1296,0.9534610077195862,1.0,0.46903749374275194,1.3183641975308642,1.0,1.431898847859365
