metric,num_treatments,mean_abs_diff_from_human_mean,mean_abs_z_score,median_abs_z_score,mean_percentile_within_humans,median_percentile_within_humans,within_human_range_rate,within_human_iqr_rate
final_round_normalized_efficiency,40,0.5077072885229416,1.7478344364113054,1.2196448436118636,0.180745253010878,0.09090909090909091,0.5889423076923077,0.2283653846153846
final_total_contribution_rate,40,0.4457992350223361,3.1262378007669867,2.2454490363318147,0.1489695634226884,0.0,0.40384615384615385,0.16346153846153846
first_round_normalized_efficiency,40,0.12857079396573776,0.8928775171899844,0.618932126742574,0.3728371454933955,0.3333333333333333,0.8653846153846154,0.5024038461538461
first_round_total_contribution_rate,40,0.1120348016191102,0.9519954555367145,0.7057354199788035,0.34648407148407145,0.3,0.8725961538461539,0.5240384615384616
mean_round_normalized_efficiency,40,0.2979748164590249,1.755479733073888,1.1139417809034882,0.2206894667832168,0.1111111111111111,0.6778846153846154,0.28846153846153844
mean_total_contribution_rate,40,0.25194216926723473,2.283017299189483,1.5815955964005495,0.19905727952602953,0.09090909090909091,0.5697115384615384,0.24519230769230768
mean_within_round_contribution_rate_var,40,0.036564072620454566,1.0943342137353043,0.7220117388498255,0.3888925310800311,0.4,0.8076923076923077,0.49038461538461536
messages_per_round,26,2.1226935175681496,1.4995181354556784,0.7195619675900264,0.5779287439613526,0.6055555555555556,0.7898550724637681,0.4384057971014493
punish_actor_round_rate,20,0.09386370512228764,0.9373771857311677,0.6326719287339919,0.5058987937628714,0.5833333333333334,0.7766990291262136,0.5388349514563107
reward_actor_round_rate,22,0.10993568226618722,0.8415852713807489,0.5981036722963028,0.48995522914736883,0.5,0.8558951965065502,0.5414847161572053
round_normalized_efficiency_decay_slope,40,0.4025356666945597,1.4363871297134716,0.8950432025754926,0.24731509809634808,0.125,0.6370192307692307,0.31009615384615385
round_normalized_efficiency_rmse_to_treatment_mean,40,0.19899895117705757,2.0614931583419835,0.84363335276083,0.6137340957653458,0.7,0.6610576923076923,0.32211538461538464
rounds_with_chat_rate,26,0.41023315251684395,1.619769915462471,1.3977198681935672,0.8341403162055336,0.9166666666666666,0.7246376811594203,0.286231884057971
total_contribution_rate_decay_slope,40,0.33446588169631136,2.283251365330337,1.527325957789384,0.22663230866355868,0.09090909090909091,0.5144230769230769,0.25240384615384615
total_contribution_rate_rmse_to_treatment_mean,40,0.17098195964303772,3.0240834857140846,1.53931589869275,0.7339962121212122,0.9090909090909091,0.5697115384615384,0.22355769230769232
total_contribution_rate_sd,40,0.06118875032230407,1.5657392305769202,1.1412613554047892,0.6364285887723387,0.75,0.6418269230769231,0.2956730769230769
