SeekUnc,SeekMC,SeekInstr,Cl_Seek
2.49927E-17,2.42508E-17,1,1
-0.783881299,0.070531892,-0.186371053,2
0.141530536,0.020632266,0.879676013,1
0.494916554,0.026113184,-0.023653267,3
-0.568674828,-0.112927617,0.048636546,2
0.11773696,0.159143766,0.508976776,1
0.80190623,0.124738697,0.237578442,3
0.035074803,0.530472032,0.632735276,1
0.352024782,0.102422022,0.014008554,3
-0.024242086,-0.082570378,0.35028031,1
0.42935703,0.229097092,0.038999329,3
-0.517331109,0.335745297,0.029879851,2
-0.42739233,0.540225224,-0.044526131,2
0.305238056,0.163263303,0.440902188,1
-0.906910208,0.026356076,0.055556194,2
0.450803746,0.429710211,0.346937285,3
-0.130709452,-0.022034419,0.845276175,1
0.031589746,0.42498633,0.373547743,1
0.753364255,0.017949949,0.204846583,3
1.30293E-17,-6.2591E-18,1,1
-1.70602E-17,2.24076E-17,1,1
-0.63309198,-0.05868017,-0.223132088,2
-0.326806509,-0.163746582,0.029657738,2
0.159332288,-0.083120692,-0.185480601,3
-0.631689644,-0.059723015,0.276385561,2
0.15864929,-0.038190418,-0.760695558,2
0.313679003,-0.157317141,0.232694429,3
0.602272647,0.111522246,0.300737678,3
-0.134702931,-0.036709802,0.448930773,1
-0.158410758,0.027418052,-0.145218541,2
-0.582610391,-0.022463595,-0.188935388,2
-0.177965565,-0.016781655,0.783463625,1
0.428536415,0.138320506,0.101630828,3
-0.373694314,0.400122937,0.254000888,2
0.419068311,0.091861346,0.539751476,1
0.177522869,-0.362363198,0.26068926,3
0.126380693,-0.056157399,0.165030319,3
-0.123619278,0.225345732,-0.349515753,2
0.030702057,-0.069972529,0.001011973,2
-0.086142037,0.051876684,0.219153549,2
0.576084422,0.254814628,0.086018922,3
0.02765242,-0.007859482,0.995705363,1
0.89659082,-0.033143889,0.017015587,3
0.380676806,-0.184909123,0.862868725,1
0.857130864,0.059317665,0.395866403,3
-0.02144968,0.145799268,0.023704375,2
-0.006907659,0.10771243,-0.166267736,2
-0.172573219,0.093676955,-0.165020208,2
-0.133104934,-0.102797034,0.566330462,1
0.07963279,-0.016151917,0.842128561,1
0.216006245,-0.090916436,0.741122284,1
0.2563269,0.086217678,0.10523687,3
0.566728737,0.074571068,0.463460471,3
-0.565001445,0.406928152,-0.048583765,2
0.410546175,-0.071267264,0.617441828,1
-0.060974314,0.151809388,0.744777266,1
0.263809853,0.010026647,0.007931117,3
-0.115485213,0.673352382,0.064322868,2
0.000712562,0.939310254,0.114712899,2
-0.079946052,0.135692995,-0.308420835,2
0.503802408,0.064755975,0.131910666,3
0.04155941,0.612924155,0.585823269,1
0.659522554,0.041976336,0.01857665,3
0.095085356,0.762806493,0.008126276,2
0.60865417,0.256814849,-0.209702085,3
0.282281749,0.242478725,0.000842659,3
0.526622312,-0.338373269,-0.130666986,3
-0.234344516,0.064292091,-0.109179388,2
-0.309290026,-0.126424975,0.061838079,2
0.158655478,-0.038903581,0.167347821,3
0.519165672,0.155212196,-0.241178378,3
0.200995389,-0.021677963,0.175982979,3
0.255446195,0.381397903,-0.044743984,3
-0.127538235,-0.072770024,0.480793889,1
-0.008230556,0.225933114,0.721717373,1
0.199771017,0.117260109,0.165406111,3
0.446521267,0.018046291,-0.039855178,3
0.395562472,0.460145048,0.356379573,3
0.52911527,-0.239816162,0.466521171,3
0.587848941,0.084631224,0.16009715,3
0.187369139,-0.079339518,0.228626987,3
-0.161330829,-0.363751918,-0.182842203,2
-0.036302503,0.734242691,0.110922149,2
-0.575803661,0.000226338,-0.057759698,2
-0.389175425,0.113098581,-0.392197244,2
0.596567235,-0.117825967,0.179297124,3
0.33652491,-0.000895748,-0.336351986,3
0.375618333,0.085046259,0.561498504,1
-0.023536763,-0.003682486,0.826908497,1
-0.002615608,0.623465668,0.589639031,1
0.788894131,-0.068056669,-0.003217809,3
-0.784518182,-0.066563905,-0.1320021,2
0.789612065,0.015035774,-0.172610511,3
-0.698424353,0.144938676,-0.048937189,2
-0.897170517,0.224160886,0.015688456,2
-0.080879476,0.030010886,0.140385665,2
0.386288627,0.021897046,0.597577498,1
0.407194158,-0.101378991,0.326372571,3
-0.084691776,0.089692394,0.71948599,1
-0.043784356,0.177360359,-0.116328772,2
0.750620671,0.071467791,-0.021143696,3
0.075848111,-0.09054635,-0.799801797,2
-0.579879598,0.053697164,0.120441882,2
0.194083594,0.156239102,0.09848203,3
0.20893486,-0.008938699,0.271922635,3
0.054667283,-0.035339498,-0.066823373,2
1.70725E-17,1.26012E-17,1,1
-0.383405542,0.455328724,-0.064069357,2
0.503850572,-0.033947941,0.145038967,3
0.010053641,0.332620606,0.681743148,1
-0.154479646,0.326283314,0.36016141,1
0.52262656,0.145324019,0.265454221,3
0.44445401,-0.060422821,0.647202483,1
0.009285737,0.947513472,0.059199246,2
