scope,config_feature,n_values,n_players,scope_mean_contribution,max_group_mean_gap,eta_squared,min_group_size,max_group_size
matched_all,CONFIG_MPCR,58,3906,14.889510486779898,9.06774067342019,0.08903096148923897,13,147
matched_all,CONFIG_numRounds,30,3906,14.889510486779898,7.963485838746836,0.05693730917744683,70,187
matched_all,CONFIG_chat,2,3906,14.889510486779898,2.698871454634382,0.05028761374248353,1933,1973
matched_all,CONFIG_playerCount,19,3906,14.889510486779898,3.827721364996462,0.023267900913075335,20,376
matched_all,CONFIG_punishmentExists,2,3906,14.889510486779898,1.4722109182716672,0.014963773905612762,1934,1972
matched_all,CONFIG_punishmentMagnitude,16,3906,14.889510486779898,2.5956670182042387,0.011541488801180572,12,566
matched_all,CONFIG_rewardMagnitude,6,3906,14.889510486779898,1.2886565801466467,0.007127367416746456,68,1128
matched_all,CONFIG_defaultContribProp,2,3906,14.889510486779898,0.7975483813182596,0.004373946828682432,1828,2078
matched_all,CONFIG_showNRounds,2,3906,14.889510486779898,0.7216518635267803,0.003594383659245157,1914,1992
matched_all,CONFIG_allOrNothing,2,3906,14.889510486779898,0.6998849967524521,0.0033821274059479163,1946,1960
matched_all,CONFIG_rewardExists,2,3906,14.889510486779898,0.49882426605754837,0.001717650624779259,1923,1983
matched_all,CONFIG_showOtherSummaries,2,3906,14.889510486779898,0.385360942195188,0.0010249109214451047,1912,1994
matched_all,CONFIG_showRewardId,2,3906,14.889510486779898,0.15235520634965027,0.00016027129646686063,1950,1956
matched_all,CONFIG_showPunishmentId,2,3906,14.889510486779898,0.15235520634965027,0.00016027129646686063,1950,1956
valid_only,CONFIG_MPCR,58,3682,14.873421936717673,9.351054692434005,0.09209835437237827,7,137
valid_only,CONFIG_numRounds,30,3682,14.873421936717673,7.963485838746836,0.06159824437004911,70,178
valid_only,CONFIG_chat,2,3682,14.873421936717673,2.693377107286439,0.05011348363954308,1833,1849
valid_only,CONFIG_playerCount,19,3682,14.873421936717673,3.826511182991206,0.02589445263261363,20,360
valid_only,CONFIG_punishmentExists,2,3682,14.873421936717673,1.5525482089905864,0.01664175402545463,1796,1886
valid_only,CONFIG_punishmentMagnitude,16,3682,14.873421936717673,2.7749318904912386,0.01288562485201381,12,531
valid_only,CONFIG_rewardMagnitude,6,3682,14.873421936717673,1.121589081956861,0.0059670319669086445,68,1071
valid_only,CONFIG_defaultContribProp,2,3682,14.873421936717673,0.8078950553237867,0.0044948667494012955,1738,1944
valid_only,CONFIG_allOrNothing,2,3682,14.873421936717673,0.7733998062195138,0.004130983172202747,1810,1872
valid_only,CONFIG_showNRounds,2,3682,14.873421936717673,0.7101788397081386,0.00347931243807764,1772,1910
valid_only,CONFIG_rewardExists,2,3682,14.873421936717673,0.5386730173091987,0.0020014075166249067,1768,1914
valid_only,CONFIG_showOtherSummaries,2,3682,14.873421936717673,0.356569585946545,0.0008782973133206024,1830,1852
valid_only,CONFIG_showRewardId,2,3682,14.873421936717673,0.24307655140906803,0.0004081623507117804,1828,1854
valid_only,CONFIG_showPunishmentId,2,3682,14.873421936717673,0.24307655140906803,0.0004081623507117804,1828,1854
