split_slug,direction,column,kind,n_train_games,n_test_games,n_train_benchmarks,n_test_benchmarks,learning_median,validation_median
all_or_nothing,false_to_true,CONFIG_allOrNothing,boolean,183,188,175,18,,
all_or_nothing,true_to_false,CONFIG_allOrNothing,boolean,183,229,173,22,,
default_contrib_prop,false_to_true,CONFIG_defaultContribProp,boolean,193,166,179,16,,
default_contrib_prop,true_to_false,CONFIG_defaultContribProp,boolean,173,251,169,24,,
mpcr,high_to_low,CONFIG_MPCR,numeric,177,209,171,20,0.42,0.45
mpcr,low_to_high,CONFIG_MPCR,numeric,189,208,177,20,0.42,0.45
num_rounds,high_to_low,CONFIG_numRounds,numeric,183,212,173,20,15.5,14.0
num_rounds,low_to_high,CONFIG_numRounds,numeric,183,205,175,20,15.5,14.0
player_count,high_to_low,CONFIG_playerCount,numeric,169,228,165,22,11.0,7.0
player_count,low_to_high,CONFIG_playerCount,numeric,197,189,183,18,11.0,7.0
reward_exists,false_to_true,CONFIG_rewardExists,boolean,184,230,174,22,,
reward_exists,true_to_false,CONFIG_rewardExists,boolean,182,187,174,18,,
show_n_rounds,false_to_true,CONFIG_showNRounds,boolean,180,289,172,28,,
show_n_rounds,true_to_false,CONFIG_showNRounds,boolean,186,128,176,12,,
show_other_summaries,false_to_true,CONFIG_showOtherSummaries,boolean,188,264,178,26,,
show_other_summaries,true_to_false,CONFIG_showOtherSummaries,boolean,178,153,170,14,,
show_punishment_id,false_to_true,CONFIG_showPunishmentId,boolean,183,211,177,20,,
show_punishment_id,true_to_false,CONFIG_showPunishmentId,boolean,183,206,171,20,,
